"가로수길명",가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자
"대남대로",35.148186,126.888792,35.138244,126.921623,느티나무,752,7940,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 대남대로,광역시도,남광주고가-서부재활용백화점,062-607-3822,광주광역시 남구청,2020-12-18
"독립로",35.133161,126.901431,35.148909,126.903347,플라타나스+이팝나무+은행나무,318,3440,,"플라타나스 조성, 여름철 푸르름을 느낄수 있음",광주광역시 남구 독립로,광역시도,백운교차로-월산교차로,062-607-3822,광주광역시 남구청,2020-12-18
"중앙로",37.504147,126.956954,35.145965,126.899653,은행나무,245,2660,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 중앙로,광역시도,중앙대교-무진중사거리,062-607-3822,광주광역시 남구청,2020-12-18
"서문로",35.133161,126.901431,35.084381,126.869495,은행나무+느티나무+이팝나무+배롱나무,1498,14100,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 서문로,광역시도,백운교차로-포충사입구교차로,062-607-3822,광주광역시 남구청,2020-12-18
"경열로",35.151428,126.894338,35.152471,126.897509,왕벚나무+은행나무,26,307,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 경열로,광역시도,경열로76번길~구성로,062-607-3822,광주광역시 남구청,2020-12-18
"월산로",35.138466,126.901353,35.151832,126.895863,은행나무+메타세콰이어,377,3708,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 월산로,광역시도,백운초-돌고개역,062-607-3822,광주광역시 남구청,2020-12-18
"회재로",35.137101,126.901378,35.064359,126.835818,은행나무+이팝나무+무궁화,996,9900,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 회재로,광역시도,제일병원-원광대병원사거리서창-남평간도로,062-607-3822,광주광역시 남구청,2020-12-18
"금화로",35.139354,126.883461,35.148853,126.890764,은행나무,220,2280,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 금화로,광역시도,짚봉터널-농성초등학교,062-607-3822,광주광역시 남구청,2020-12-18
"군분로",35.134258,126.896523,35.147139,126.887466,은행나무+메타세콰이어+플라타너스,227,4040,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 군분로,광역시도,무등시장-벧엘교회,062-607-3822,광주광역시 남구청,2020-12-18
"금당로",35.129712,126.895043,35.123162,126.895959,은행나무,115,1650,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 금당로,광역시도,삼육초등학교-대덕아파트,062-607-3822,광주광역시 남구청,2020-12-18
"도동길",35.099151,126.887014,35.089932,126.884957,느티나무+왕벚나무,364,3020,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 도동길,광역시도,임암교차로-위생매립장,062-607-3822,광주광역시 남구청,2020-12-18
"화산로",35.112941,126.898041,35.115175,126.908911,은행나무+소나무+느티나무+청단풍,234,3000,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 화산로,광역시도,효덕초등학교-원제마을,062-607-3822,광주광역시 남구청,2020-12-18
"진제길",35.112699,126.901761,35.115602,126.902268,느티나무,66,806,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 진제길,광역시도,남광주농협효덕지점-진제초,062-607-3822,광주광역시 남구청,2020-12-18
"효덕로",35.111049,126.896116,35.098611,126.905911,느티나무,361,3660,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 효덕로,광역시도,효덕지하차도-노대마을,062-607-3822,광주광역시 남구청,2020-12-18
"송암로",35.108277,126.879461,35.113853,126.869838,은행나무+왕벚나무,322,4570,,"왕벚나무 조성, 4-5월 아름다운 꽃을 느낄수 있음",광주광역시 남구 송암로,광역시도,자동차검사장-송원고,062-607-3822,광주광역시 남구청,2020-12-18
"봉선로",35.133161,126.901431,35.122033,126.917555,은행나무+느티나무+이팝나무,404,4370,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 봉선로,광역시도,백운교차로-문예회관삼거리,062-607-3822,광주광역시 남구청,2020-12-18
"봉선1로",35.127772,126.905224,35.128106,126.917151,은행나무,207,2480,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 봉선1로,광역시도,제석초교-라인효친아파트,062-607-3822,광주광역시 남구청,2020-12-18
"봉선2로",35.125932,126.906914,35.125841,126.918172,은행나무,189,2140,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 봉선2로,광역시도,라인A-무등1차사거리,062-607-3822,광주광역시 남구청,2020-12-18
"봉선중앙로",35.133708,126.910369,35.121277,126.912483,은행나무,232,2840,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 봉선중앙로,광역시도,한일병원-쌍용APT끝,062-607-3822,광주광역시 남구청,2020-12-18
"용대로",35.127488,126.918138,35.120909,126.917681,은행나무+이팝나무,298,2654,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 용대로,광역시도,용산터널-명지맨션,062-607-3822,광주광역시 남구청,2020-12-18
"봉선중길",35.130384,126.911765,35.130322,126.916043,은행나무,56,620,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 봉선중길,광역시도,봉선근린공원-모아2차,062-607-3822,광주광역시 남구청,2020-12-18
"유안초등북길",35.129979,126.914286,35.126103,126.914049,은행나무,49,428,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 유안초등북길,광역시도,모아2차사거리-봉선중길,062-607-3822,광주광역시 남구청,2020-12-18
"제석로",35.125361,126.908121,35.115175,126.908911,왕벚나무+은행나무+느티나무,293,3760,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 제석로,광역시도,남양휴튼1차사거리-진아리채3차삼거리,062-607-3822,광주광역시 남구청,2020-12-18
"양림로",35.134931,126.909839,35.138966,126.918805,은행나무+이팝나무,161,1900,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 양림로,광역시도,스카이맨션-학강교,062-607-3822,광주광역시 남구청,2020-12-18
"제중로",35.135954,126.916812,35.136919,126.914833,이팝나무,43,476,,"이팝나무 조성, 5-6월 아름다운 꽃을 느낄수 있음",광주광역시 남구 제중로,광역시도,양림주공APT진입로,062-607-3822,광주광역시 남구청,2020-12-18
"백운로",35.134448,126.910321,35.142971,126.906291,은행나무,187,2160,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 백운로,광역시도,스카이맨션-중앙로,062-607-3822,광주광역시 남구청,2020-12-18
"진다리로",35.136868,126.901831,35.136522,126.907931,은행나무,99,1100,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 진다리로,광역시도,제일병원사거리-백운로,062-607-3822,광주광역시 남구청,2020-12-18
"천변좌로",35.148778,126.909368,35.137694,126.919956,은행나무,154,4020,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 천변좌로,광역시도,광주공원-남광교,062-607-3822,광주광역시 남구청,2020-12-18
"포충로",35.080281,126.832095,35.084322,126.868725,은행나무+이팝나무+배롱나무+무궁화,2542,42340,,"배롱나무 조성, 아름다운 꽃을 느낄수 있음",광주광역시 남구 포충로,광역시도,(구)동초교-대촌교차로,062-607-3822,광주광역시 남구청,2020-12-18
"고싸움로",35.082099,126.831564,35.070049,126.835551,은행나무,39,280,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 고싸움로,광역시도,대촌중-대촌파출소,062-607-3822,광주광역시 남구청,2020-12-18
"방림로",35.133448,126.917861,35.135087,126.921689,은행나무,44,500,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 방림로,광역시도,방림1동주민센터-학림교,062-607-3822,광주광역시 남구청,2020-12-18
"큰방림길",35.134724,126.920995,35.131223,126.923359,은행나무,90,900,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 큰방림길,광역시도,방림삼거리-송학맨션,062-607-3822,광주광역시 남구청,2020-12-18
"회서로",35.128881,126.897151,35.132305,126.892748,이팝나무,102,1300,,"이팝나무 조성, 5-6월 아름다운 꽃을 느낄수 있음",광주광역시 남구 회서로,광역시도,백운주유소-회재로,062-607-3822,광주광역시 남구청,2020-12-18
"오방로",35.135259,126.917916,35.126192,126.9185311,이팝나무+배롱나무,376,4684,,"이팝나무 조성, 5-6월 아름다운 꽃을 느낄수 있음",광주광역시 남구 오방로,광역시도,무등1차사거리-대남로,062-607-3822,광주광역시 남구청,2020-12-18
"효사랑길",35.122205,126.917686,35.121332,126.916769,이팝나무,24,420,,"이팝나무 조성, 5-6월 아름다운 꽃을 느낄수 있음",광주광역시 남구 효사랑길,광역시도,문예회관-포스코정문,062-607-3822,광주광역시 남구청,2020-12-18
"효우로",35.113033,126.904971,35.099151,126.887014,느티나무+은행나무+이팝나무+칠엽수,886,9780,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 효우로,광역시도,진월지구진입로-노인건강타운,062-607-3822,광주광역시 남구청,2020-12-18
"효우1로",35.104244,126.896795,35.104388,126.897329,느티나무,53,940,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 효우1로,광역시도,효천2지구 내,062-607-3822,광주광역시 남구청,2020-12-18
"효우2로",35.099151,126.887014,35.099151,126.887014,느티나무,253,2020,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 효우2로,광역시도,효천2지구 내,062-607-3822,광주광역시 남구청,2020-12-18
"덕남길",35.101515,126.896231,35.097309,126.894991,느티나무,91,1800,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 덕남길,광역시도,노인건강타운진입로-덕남정수장,062-607-3822,광주광역시 남구청,2020-12-18
"노대실로",35.108289,126.904728,35.103049,126.903162,은행나무+칠엽수+이팝나무,272,2830,,"칠엽수 조성, 여름철 푸르름을 느낄수 있음",광주광역시 남구 노대실로,광역시도,남양휴튼사거리-휴먼시아7단지사거리,062-607-3822,광주광역시 남구청,2020-12-18
"주월로",35.133083,126.892695,35.140848,126.886233,느티나무,171,2200,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 주월로,광역시도,짚봉터널-해태2차아파트,062-607-3822,광주광역시 남구청,2020-12-18
"서문대로402번길",35.104051,126.879193,35.101815,126.884885,이팝나무,57,1100,,"이팝나무 조성, 5-6월 아름다운 꽃을 느낄수 있음",광주광역시 남구 서문대로402번길,광역시도,서문대로기점~제일풍경채에듀파크2단지204동,062-607-3822,광주광역시 남구청,2020-12-18
"임암길11번길",35.092705,126.852581,35.098461,126.848598,배롱나무,270,1500,,"배롱나무 조성, 아름다운 꽃을 느낄수 있음",광주광역시 남구 임암길11번길,광역시도,부용교~원산동434,062-607-3822,광주광역시 남구청,2020-12-18
"고싸움로",35.068831,126.834961,35.077418,126.836915,왕벚나무,96,1800,,"왕벚나무 조성, 아름다운 꽃을 느낄수 있음",광주광역시 남구 고싸움로,광역시도,고싸움놀이테마파크~도금마을길기점,062-607-3822,광주광역시 남구청,2020-12-18
"효천1지구",35.106203,126.863637,35.098599,126.876273,이팝나무+느티나무+은행나무+미국풍나무+팽나무+왕벚나무,1123,4794,,"이팝나무 조성, 5-6월 아름다운 꽃을 느낄수 있음",광주광역시 남구 효천1지구,광역시도,효천물빛노닐터~행암교차로,062-607-3822,광주광역시 남구청,2020-12-18
